is_x86_64,memory_mb,cpu_count,disk_count,has_raw_disk,has_qcow2_disk,needs_disk_conversion,has_virtio_bus,needs_bus_change,has_virtio_net,needs_net_change,compatibility_score,issue_count,blocker_count,warning_count,conversion_action_count,has_windows_os,has_linux_os,total_disk_size_gb_est,is_multi_disk,label
1,62709.761186770236,24.495830370719343,3,0.3,0.1,0.7984250789732434,0.3,0.4229163764267956,0.2,0.13998996632720118,48.36995567863468,2,1,4,3,0,1,1499.5977900802845,1,2
1,16473.31509677425,31.781923660154092,3,0.4,0.1,0.621696897183815,0.3,0.4099025726528951,0.4,0.22958350559263474,40.19301990693147,4,0,4,3,0,0,2035.817558082381,1,1
1,69916.10270082433,28.078331388616974,5,0.4,0.1,0.5682096494749166,0.3,0.2260206371941118,0.4,0.384665661176,63.79712115760958,3,0,3,2,0,0,3479.6648903621995,1,1
1,7167.149537706993,3.0401879210466323,1,0.6,0.2,0.0,0.9,0.0,0.9,0.0,80.17559963200034,1,0,0,0,0,1,40.80272084711243,1,0
1,31895.930447265422,12.851859527055604,2,0.0,0.0,0.8185450708005443,0.2,0.7633294328968971,0.1,0.49090879834256834,46.42892690820424,4,0,5,2,1,0,482.1391312007006,1,1
1,85821.8953823761,40.8580652771755,4,0.3,0.0,0.7123738038749523,0.2,0.5170784332632994,0.3,0.15636968998990508,35.054924518850996,3,0,3,6,1,0,633.7583157933024,1,1
1,24491.596469209293,13.06245756743688,3,0.0,0.0,0.7222133955202271,0.2,0.4792328642721363,0.1,0.2463476238100519,65.20861990564578,4,0,3,2,1,0,69.23684113157087,1,1
1,699.251494334271,1.8872127425763265,1,0.0,0.0,1.0,0.0,0.6914634373768949,0.0,0.9858560476945519,43.95655297064336,5,0,3,5,0,0,22.766572242144683,1,1
1,898.6828743440032,1.0942875570602029,1,0.7,0.3,0.0,0.8,0.0,0.8,0.0,92.72820822527561,0,0,1,0,0,1,37.22699421778279,0,0
1,15862.499169277577,12.577715939602681,1,0.0,0.0,0.7230939729486379,0.2,0.444875726456884,0.1,0.26448851490160175,67.53941783199005,5,0,2,2,1,0,440.87187148635013,1,1
1,29687.45160470464,9.55079138681911,2,0.0,0.0,0.736626386410202,0.2,0.47814891903848744,0.1,0.5627313766183015,44.52462872846223,4,0,2,5,1,0,202.18167391371776,1,1
1,9704.705916166336,4.9089798281539,2,0.3,0.2,0.3599326836668414,0.5,0.16880758570181398,0.4,0.3771638815650077,61.312102620726435,3,0,1,4,0,1,98.18073638068704,1,2
1,126765.15536232086,11.049904283110196,4,0.4,0.1,0.7849082359697768,0.3,0.25923477198135997,0.4,0.3993221455146826,39.337335499634975,3,1,3,4,0,1,1349.8970752014677,1,2
1,9064.794771339144,7.913902724663604,4,0.3,0.2,0.6360677737029392,0.5,0.3808098076643588,0.4,0.09505501759695988,75.48757220141508,2,0,4,2,0,1,141.36475372174317,1,1
1,162.6712717008928,1.0,1,0.5,0.3,0.0,0.9,0.0,0.9,0.0,97.52953743383857,0,0,1,0,0,1,15.437192101863229,0,0
1,8101.38302712076,6.64289257078658,2,0.7,0.2,0.0,0.9,0.0,0.9,0.0,89.21767504938705,0,0,1,0,0,1,34.80882755457104,1,0
